"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FTAA (Free Trade Area of the Americas)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1830,1499,1507,1474,1529,1580,1638,1633,1608
"FTAA (Free Trade Area of the Americas)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3146,3229,3304,3241,3251,3204,3185,3104,3088
"FTAA (Free Trade Area of the Americas)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4524,4152,4139,3741,3537,3496,3496,3456,3359
"FTAA (Free Trade Area of the Americas)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1336,1364,1311,1272,1169,1105,1023,951,928
"FTAA (Free Trade Area of the Americas)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9644,10068,10220,10326,10475,10603,10743,10910,11028
"G20 (Group of Twenty)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",40811,41664,42353,43433,44531,45253,46241,47007,48572
"G20 (Group of Twenty)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4974,3922,3966,4035,4148,4171,4234,4362,4573
"G20 (Group of Twenty)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2432,2689,2767,3110,3168,3134,3108,3146,3234
"G20 (Group of Twenty)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9913,9700,9670,9587,9563,9639,9668,9718,9337
"G20 (Group of Twenty)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1638,1684,1663,1594,1639,1720,1779,1871,1918
"G20 (Group of Twenty)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",21854,23669,24287,25107,26013,26589,27452,27910,29510
"G7 (Group of Seven)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13702,13855,13880,13530,13551,13506,13560,13804,13299
"G7 (Group of Seven)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1650,1183,1188,1122,1149,1127,1137,1161,1067
"G7 (Group of Seven)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",269,311,331,385,364,350,354,369,373
"G7 (Group of Seven)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2824,2776,2787,2670,2612,2588,2581,2617,2324
"G7 (Group of Seven)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",569,615,574,456,393,362,347,341,327
"G7 (Group of Seven)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8390,8970,9000,8897,9033,9079,9141,9316,9208
"G-77 (Group of 77)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",46871,47690,49100,50558,52110,53359,54628,55209,57585
"G-77 (Group of 77)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5990,5235,5405,5671,6011,6214,6433,6554,6965
"G-77 (Group of 77)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5645,6114,6503,6950,7248,7446,7635,7870,8136
"G-77 (Group of 77)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12646,12002,11995,11714,11689,11832,11921,11843,11791
"G-77 (Group of 77)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3356,3391,3435,3422,3351,3346,3224,3167,3214
"G-77 (Group of 77)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",19234,20948,21762,22801,23811,24521,25415,25775,27479
"G8 (Group of Eight)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",16011,16160,16246,16008,16075,16085,16171,16429,16038
"G8 (Group of Eight)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2008,1524,1549,1508,1551,1538,1552,1572,1471
"G8 (Group of Eight)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",297,338,352,402,381,367,370,384,389
"G8 (Group of Eight)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3691,3622,3649,3564,3485,3467,3453,3496,3223
"G8 (Group of Eight)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",579,625,584,465,403,374,360,354,340
"G8 (Group of Eight)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9436,10051,10112,10069,10255,10339,10436,10623,10615
"GCC (The Cooperation Council for the Arab States of the Gulf)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1304,1324,1357,1429,1524,1555,1586,1604,1613
"GCC (The Cooperation Council for the Arab States of the Gulf)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",110,97,101,95,105,98,94,124,109
"GCC (The Cooperation Council for the Arab States of the Gulf)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12,10,10,6,8,10,14,16,15
"GCC (The Cooperation Council for the Arab States of the Gulf)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",124,121,125,140,143,151,161,167,174
"GCC (The Cooperation Council for the Arab States of the Gulf)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",35,34,27,27,28,28,12,9,10
"GCC (The Cooperation Council for the Arab States of the Gulf)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1023,1062,1094,1161,1240,1268,1305,1288,1305
"GSTP (Global System of Trade Preferences among Developing Countries)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",22373,23084,23986,25244,26441,27252,28127,28377,29694
"GSTP (Global System of Trade Preferences among Developing Countries)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2775,2444,2521,2591,2746,2831,2878,2927,2999
"GSTP (Global System of Trade Preferences among Developing Countries)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",836,896,916,1050,1134,1192,1172,1192,1167
"GSTP (Global System of Trade Preferences among Developing Countries)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6313,6263,6312,6395,6475,6646,6764,6722,6667
"GSTP (Global System of Trade Preferences among Developing Countries)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",750,734,822,890,923,966,1015,1020,1042
"GSTP (Global System of Trade Preferences among Developing Countries)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11699,12747,13415,14318,15163,15617,16298,16516,17819
"IGAD (Intergovernmental Authority on Development)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",72,73,76,80,86,84,81,80,85
"IGAD (Intergovernmental Authority on Development)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4,4,5,6,6,6,6,5,5
"IGAD (Intergovernmental Authority on Development)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,1,1,"..",".."
"IGAD (Intergovernmental Authority on Development)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",17,16,17,22,22,17,15,16,15
"IGAD (Intergovernmental Authority on Development)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"IGAD (Intergovernmental Authority on Development)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51,53,54,52,57,60,59,59,65
"LAIA (Latin American Integration Association)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10477,10429,10596,10492,10458,10496,10604,10541,10674
"LAIA (Latin American Integration Association)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1176,911,916,906,950,975,1020,1018,1001
"LAIA (Latin American Integration Association)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2589,2694,2799,2750,2765,2716,2693,2617,2596
"LAIA (Latin American Integration Association)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1975,1768,1770,1618,1522,1531,1558,1582,1562
"LAIA (Latin American Integration Association)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",775,764,740,736,677,671,642,619,639
"LAIA (Latin American Integration Association)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3962,4292,4371,4482,4544,4603,4691,4705,4876
"LAS (League of Arab States)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2626,2580,2601,2569,2709,2738,2790,2832,2862
"LAS (League of Arab States)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",207,187,191,184,205,197,198,232,210
"LAS (League of Arab States)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",53,51,39,31,35,41,38,40,38
"LAS (League of Arab States)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",483,416,408,341,341,356,379,398,401
